url,is_news,Source,Language,Government Stance,US stance,gpt_label
vaghtesobh.com,1,Iran,Farsi,Pro,,Neutral
moniban.news,1,Iran,Farsi,Pro,Anti,Reformist
shomanews.com,1,Iran,Farsi,Pro,Anti,Pro-government
fardanews.com,1,Iran,Farsi,Pro,Anti,Pro-government
iranfocus.com,1,USA,English,Anti,Pro,Anti-government
iranian.com,1,USA,English,,Anti,Anti-government
pikiran-rakyat.com,1,,,,,Neutral
iranculture.ir,1,,,,,Pro-government
piranhazone.com,1,,,,,Neutral
iran-interlink.org,1,,,,,Pro-government
unitedagainstnucleariran.com,1,,,,,Anti-government
ncr-iran.org,1,,,,,Anti-government
iranisnottheenemy.info,1,,,,,Neutral
presstv.ir,1,,,,,Pro-government
alalam.ir,1,,,,,Pro-government
irna.ir,1,,,,,Pro-government
behdasht.gov.ir,1,,,,,Pro-government
sapp.ir,1,,,,,Pro-government
farsnews.ir,1,,,,,Pro-government
iqna.ir,1,,,,,Pro-government
shabestan.ir,1,,,,,Pro-government
iribnews.ir,1,,,,,Pro-government
isna.ir,1,,,,,Pro-government
khabaronline.ir,1,,,,,Pro-government
abadanums.ac.ir,1,,,,,Pro-government
www.abadanums.ac.ir,1,,,,,Pro-government
it.abadanums.ac.ir,1,,,,,Pro-government
president.abadanums.ac.ir,1,,,,,Pro-government
ipd.abadanums.ac.ir,1,,,,,Pro-government
www.ncr-iran.org,1,,,,,Anti-government
taleghani.abadanums.ac.ir,1,,,,,Pro-government
socialp.abadanums.ac.ir,1,,,,,Pro-government
khodroline.ir,1,,,,,Neutral
ia.abadanums.ir,1,,,,,Pro-government
iranianvoicenews.wordpress.com,1,,,,,Anti-government
pr.abadanums.ac.ir,1,,,,,Pro-government
irimo.ir,1,,,,,Pro-government
titrnews.ir,1,,,,,Neutral
regimechangeiran.blogspot.com,1,,,,,Anti-government
prensapopular-comunistasmiranda.blogspot.com,1,,,,,Neutral
globalinvestment.ir,1,,,,,Neutral
iranpoliticsclub.net,1,,,,,Anti-government
dolat.ir,1,,,,,Pro-government
irangov.ir,1,,,,,Pro-government
radinhesab.ir,1,,,,,Neutral
sahebkhabar.ir,1,,,,,Neutral
khategilan.ir,1,,,,,Neutral
blog.ir,1,,,,,Neutral
lijaar.ir,1,,,,,Neutral
monitoriran.com,1,,,,,Anti-government
pixelstudio.ir,1,,,,,Neutral
mci.ir,1,,,,,Neutral
safarme.ir,1,,,,,Neutral
rubika.ir,1,,,,,Pro-government
nano.ir,1,,,,,Pro-government
raykaps.ir,1,,,,,Neutral
iranintl.com,1,,,,,Anti-government
mehrnews.com,1,,,,,Pro-government
hamshahrionline.ir,1,,,,,Pro-government
mrud.ir,1,,,,,Pro-government
tehrantimes.com,1,,,,,Pro-government
mashreghnews.ir,1,,,,,Pro-government
sena.ir,1,,,,,Pro-government
imna.ir,1,,,,,Pro-government
ana.press,1,,,,,Pro-government
hawzahnews.com,1,,,,,Pro-government
shana.ir,1,,,,,Pro-government
behzisti.ir,1,,,,,Pro-government
kontactr.com,1,,,,,Neutral
salamatnews.com,1,,,,,Neutral
qudsonline.ir,1,,,,,Pro-government
tahlilbazaar.com,1,,,,,Neutral
kanoonnews.ir,1,,,,,Neutral
ibena.ir,1,,,,,Pro-government
icro.ir,1,,,,,Pro-government
ifsm.ir,1,,,,,Pro-government
iscanews.ir,1,,,,,Pro-government
iranpl.ir,1,,,,,Pro-government
saat24.news,1,,,,,Reformist
khabarvarzeshi.com,1,,,,,Neutral
imereport.ir,1,,,,,Neutral
tehrannews.ir,1,,,,,Pro-government
mefda.ir,1,,,,,Pro-government
sedayebourse.ir,1,,,,,Neutral
besthostingprice.com,1,,,,,Neutral
farhangemrooz.com,1,,,,,Neutral
namayande.com,1,,,,,Pro-government
tebna.ir,1,,,,,Neutral
tahririeh.com,1,,,,,Pro-government
atiyeonline.ir,1,,,,,Pro-government
iranamir.com,1,,,,,Neutral
setad.ir,1,,,,,Pro-government
shahryarnews.net,1,,,,,Pro-government
foodpress.ir,1,,,,,Neutral
nezamqom.ir,1,,,,,Neutral
oipf.ir,1,,,,,Pro-government
mshrgh.ir,1,,,,,Pro-government
irasin.ir,1,,,,,Pro-government
enamad.ir,1,,,,,Pro-government
tasnimnews.com,1,,,,,Pro-government
khamenei.ir,1,,,,,Pro-government
cinemapress.ir,1,,,,,Pro-government
donyayekhodro.com,1,,,,,Neutral
prisons.ir,1,,,,,Pro-government
saat24.com,1,,,,,Reformist
shahr.ir,1,,,,,Pro-government
salameno.com,1,,,,,Reformist
eximnews.ir,1,,,,,Pro-government
telexiran.com,1,,,,,Neutral
chamedanmag.com,1,,,,,Neutral
rustanews.ir,1,,,,,Pro-government
fardayeeghtesad.com,1,,,,,Neutral
radareghtesad.ir,1,,,,,Neutral
musalla.ir,1,,,,,Pro-government
1404.ir,1,,,,,Pro-government
arbaeenpix.com,1,,,,,Pro-government
karafarinnews.ir,1,,,,,Neutral
bidarbourse.com,1,,,,,Neutral
iranpejvak.com,1,,,,,Anti-government
karajemrouz.ir,1,,,,,Pro-government
feenews.ir,1,,,,,Neutral
payamekhanevadeh.ir,1,,,,,Neutral
darmanbasij.ir,1,,,,,Pro-government
namayandeganema.ir,1,,,,,Neutral
talareshishei.ir,1,,,,,Neutral
donya-e-eqtesad.com,1,,,,,Neutral
entekhab.ir,1,,,,,Reformist
jamejamonline.ir,1,,,,,Pro-government
kayhan.ir,1,,,,,Pro-government
khorasannews.com,1,,,,,Pro-government
sharghdaily.com,1,,,,,Reformist
ettelaat.com,1,,,,,Pro-government
beytoote.com,1,,,,,Neutral
yjc.news,1,,,,,Pro-government
asriran.com,1,,,,,Neutral
jamnews.com,1,,,,,Pro-government
tabnak.ir,1,,,,,Pro-government
shahrekhabar.com,1,,,,,Neutral
bartarinha.ir,1,,,,,Neutral
javanonline.ir,1,,,,,Pro-government
esfahanemrooz.ir,1,,,,,Reformist
icana.ir,1,,,,,Pro-government
en.isna.ir,1,,,,,Pro-government
etemadnewspaper.ir,1,,,,,Reformist
financialtribune.com,1,,,,,Neutral
farhikhtegandaily.com,1,,,,,Pro-government
ghanoondaily.ir,1,,,,,Reformist
khabarads.ir,1,,,,,Neutral
vatanemrooz.ir,1,,,,,Pro-government
aftabyazdonline.ir,1,,,,,Reformist
theiranproject.com,1,,,,,Pro-government
irannewsdaily.com,1,,,,,Pro-government
seemorgh.com,1,,,,,Neutral
alef.ir,1,,,,,Pro-government
vista.ir,1,,,,,Neutral
