url,label
100percentfedup.com,unreliable
1010wins.radio.com,reliable
1011now.com,reliable
10tv.com,reliable
11alive.com,reliable
12minutos.com,unreliable
12news.com,reliable
12newsnow.com,reliable
13abc.com,reliable
13newsnow.com,reliable
13wham.com,reliable
13wmaz.com,reliable
14news.com,reliable
19fortyfive.com,reliable
19thnews.org,reliable
21stcenturywire.com,mixed
247wallst.com,reliable
24aktuelles.com,unreliable
24ur.com,reliable
2ndvote.com,mixed
38north.org,reliable
4029tv.com,reliable
4chan.org,unreliable
5newsonline.com,reliable
604now.com,reliable
6abc.com,reliable
79days.news,unreliable
7news.com.au,mixed
8newsnow.com,reliable
911truth.org,unreliable
972mag.com,reliable
9news.com,reliable
9news.com.au,reliable
aa.com.tr,mixed
aap.com.au,reliable
aapsonline.org,unreliable
aawsat.com/english,mixed
abc.es,reliable
abc.net.au,reliable
abc11.com,reliable
abc12.com,reliable
abc13.com,reliable
abc17news.com,reliable
abc27.com,reliable
abc30.com,reliable
abc3340.com,reliable
abc4.com,reliable
abc6onyourside.com,reliable
abc7amarillo.com,reliable
abc7chicago.com,reliable
abc7news.com,reliable
abc7ny.com,reliable
abcnews.com.co,unreliable
abcnews.go.com,reliable
abcnews4.com,reliable
abcstlouis.com,reliable
abort73.com,mixed
abovethelaw.com,reliable
abovetopsecret.com,unreliable
abqjournal.com,reliable
ac2news.com,reliable
academia.org,mixed
accountable.us,reliable
aceshowbiz.com,mixed
aclj.org,mixed
aclu.org,mixed
acpeds.org,unreliable
acsh.org,reliable
acting-man.com,mixed
actionnews5.com,reliable
actionnewsjax.com,reliable
actionnewsnow.com,reliable
activistmommy.com,unreliable
activistpost.com,unreliable
acton.org,mixed
ad.nl,reliable
adaderana.lk,mixed
additudemag.com,mixed
adelaidenow.com.au,mixed
adflegal.org,unreliable
adfontesmedia.com,reliable
adl.org,reliable
adn.com,reliable
adobochronicles.com,unreliable
advocate.com,reliable
adweek.com,reliable
ae911truth.org,mixed
aei.org,mixed
aeon.co,reliable
afa.net,unreliable
affinitymagazine.us,mixed
afj.org,reliable
afn.net,unreliable
afp.com,reliable
afpc.org,reliable
afr.com,reliable
africacheck.org,reliable
africanarguments.org,reliable
africanews.com,reliable
africanexponent.com,unreliable
aftonbladet.se,mixed
agdaily.com,reliable
ageofautism.com,unreliable
agerpres.ro,reliable
agriculture.com,reliable
agweb.com,reliable
ahtribune.com,unreliable
ahvalnews.com,mixed
aier.org,mixed
aim.org,mixed
aim4truth.org,unreliable
aina.org,mixed
airforcetimes.com,reliable
airwars.org,reliable
aish.com,mixed
ajc.com,reliable
al.com,reliable
alaraby.co.uk,reliable
alaskasnewssource.com,reliable
albawaba.com,mixed
aldianews.com,mixed
alec.org,mixed
aleteia.org,mixed
algemeiner.com,reliable
aljazeera.com,mixed
allafrica.com,reliable
allenbwest.com,unreliable
allenwestrepublic.com,unreliable
allgov.com,reliable
alligator.org,reliable
allnewspipeline.com,unreliable
almasdarnews.com,unreliable
al-monitor.com,reliable
alphanewsmn.com,unreliable
alreporter.com,reliable
alternativenews.com,unreliable
alternet.org,mixed
althealthworks.com,unreliable
altleft.news,unreliable
altnews.in,reliable
altnewsmedia.net,mixed
altoday.com,reliable
amac.us,mixed
amarillo.com,reliable
america.cgtn.com,unreliable
americablog.com,reliable
americafirstpolicy.com,mixed
americamagazine.org,reliable
americanactionforum.org,reliable
americanactionnews.com,unreliable
americanaffairsjournal.org,reliable
americanbridgepac.org,mixed
americanconsequences.com,mixed
americanconservativemovement.com,unreliable
americanexperiment.org,mixed
americanfirearms.org,reliable
americanfreepress.net,unreliable
americangulag.org,unreliable
americanheritage.com,reliable
americanimmigrationcouncil.org,reliable
americanindependent.com,reliable
americanlookout.com,unreliable
americanmilitarynews.com,reliable
americanmind.org,mixed
americanoversight.org,reliable
americanpatriotdaily.com,unreliable
americanpolicy.org,unreliable
americanpressinstitute.org,reliable
americanprinciplesproject.org,unreliable
americanprogress.org,mixed
americanpublicmedia.org,reliable
americanpurpose.com,reliable
americansforprosperity.org,mixed
americanthinker.com,unreliable
americarisingpac.org,mixed
americasfreedomfighters.com,unreliable
americasfrontlinedoctors.com,unreliable
americasquarterly.org,reliable
americasvoice.news,mixed
amestrib.com,reliable
amg-news.com,unreliable
amgreatness.com,mixed
amimagazine.org,reliable
ammoland.com,reliable
amnesty.org,reliable
amny.com,reliable
amren.com,unreliable
amsterdamnews.com,reliable
amtvmedia.com,unreliable
analyzingamerica.org,unreliable
anchoragepress.com,reliable
ancient-code.com,mixed
ancient-origins.net,mixed
andalusiastarnews.com,reliable
angrywhitemen.org,mixed
angusreid.org,reliable
anh-usa.org,mixed
aninews.in,mixed
annistonstar.com,reliable
anonews.co,unreliable
anonhq.com,unreliable
ansa.it,reliable
answersingenesis.org,unreliable
anthropocenemagazine.org,reliable
antiwar.com,reliable
aol.com,reliable
apmreports.org,reliable
apnews.com,reliable
apost.com,mixed
app.com,reliable
apple.com/apple-news,reliable
aptnnews.ca,reliable
arabnews.com,mixed
arcamax.com,reliable
arcdigital.media,reliable
areomagazine.com,reliable
argusleader.com,reliable
arirang.com,reliable
arizonadailyindependent.com,mixed
arkansasonline.com,reliable
arklatexhomepage.com,reliable
arktimes.com,reliable
armscontrol.org,reliable
armstrongeconomics.com,mixed
armytimes.com,reliable
arstechnica.com,reliable
arte.tv,reliable
asahi.com,reliable
asia.nikkei.com,reliable
asianews.it,mixed
asia-pacificresearch.com,mixed
asiasentinel.com,mixed
aspeniaonline.it,reliable
aspeninstitute.org,reliable
aspentimes.com,reliable
aspentimes.com/snowmass,reliable
assassinationscience.com,unreliable
atchisonglobenow.com,reliable
athensmessenger.com,reliable
atimes.com,reliable
atlanta.cbslocal.com,reliable
atlantablackstar.com,reliable
atlanticcouncil.org,reliable
atlasobscura.com,reliable
atmoreadvance.com,reliable
atr.org,mixed
attackthesystem.com,mixed
Attitude.co.uk,unreliable
attn.com,reliable
au.org,reliable
auburnpub.com,reliable
audacy.com,reliable
augustachronicle.com,reliable
austinchronicle.com,reliable
austindailyherald.com,reliable
australiannationalreview.com,unreliable
autismspeaks.org,reliable
autostraddle.com,reliable
avclub.com,reliable
avoiceformen.com,unreliable
awarenessact.com,unreliable
awm.com,unreliable
axios.com,reliable
