url,label
accountable.us,Extreme left
aftonbladet.se,Extreme left
aldianews.com,Extreme left
afj.org,Extreme left
altnews.in,Extreme left
alternet.org,Extreme left
americablog.com,Extreme left
americanbridgepac.org,Extreme left
americanoversight.org,Extreme left
au.org,Extreme left
angrywhitemen.org,Extreme left
attackthesystem.com,Extreme left
autostraddle.com,left
citypaper.com,Extreme left
ebar.com,Extreme left
themaven.net,Extreme left
billmoyers.com,Extreme left
bitchmedia.org,Extreme left
blackagendareport.com,Extreme left
blackamericaweb.com,Extreme left
blacklivesmatter.com,Extreme left
bnc.tv,Extreme left
boingboing.net,Extreme left
bostonreview.net,Extreme left
brut.media,Extreme left
bust.com,Extreme left
canadiandimension.com,Extreme left
capitalandmain.com,Extreme left
care2.com,Extreme left
ceasefiremagazine.co.uk,Extreme left
americanprogress.org,Extreme left
prwatch.org,Extreme left
c4ss.org,Extreme left
change.org,Extreme left
chicagoreader.com,Extreme left
chicagoreporter.com,Extreme left
china.org.cn,Extreme left
climatechangenews.com,Extreme left
cnn.com,Extreme left
codepink.org,Extreme left
colorlines.com,Extreme left
columbusfreepress.com,Extreme left
comicsands.com,Extreme left
commondreams.org,Extreme left
communemag.com,Extreme left
copblock.org,Extreme left
cosmopolitan.com,Extreme left
countercurrents.org,Extreme left
counterpunch.org,Extreme left
crikey.com.au,Extreme left
crimethinc.com,Extreme left
crooked.com,Extreme left
crooksandliars.com,Extreme left
currentaffairs.org,Extreme left
curvemag.com,Extreme left
thedailybeast.com,Extreme left
dailydot.com,Extreme left
dailykos.com,Extreme left
dailynewsbin.com,Extreme left
dailyrecord.co.uk,Extreme left
dailysoundandfury.com,Extreme left
dallasvoice.com,Extreme left
deadstate.org,Extreme left
deadspin.com,Extreme left
democracychronicles.org,Extreme left
democracyjournal.org,Extreme left
democracynow.org,Extreme left
deshabhimani.com,Extreme left
desmogblog.com,Extreme left
metrotimes.com,Extreme left
dissentmagazine.org,Extreme left
drudge.com,Extreme left
earthfirstjournal.org,Extreme left
ecowatch.com,Extreme left
egbertowillies.com,Extreme left
electoral-vote.com,Extreme left
electronicintifada.net,Extreme left
elitedaily.com,Extreme left
elle.com,Extreme left
esquire.com,Extreme left
everydayfeminism.com,Extreme left
evonomics.com,Extreme left
extranewsfeed.com,Extreme left
feministcurrent.com,Extreme left
feministing.com,Extreme left
thefifthcolumnnews.com,Extreme left
fifthestate.org,Extreme left
foodandwaterwatch.org,Extreme left
foreignpolicyjournal.com,Extreme left
foreignpolicynews.org,Extreme left
freepress.org,Extreme left
ffrf.org,Extreme left
freedomnews.org.uk,Extreme left
frontpagelive.com,Extreme left
freespeech.org,Extreme left
gawker.com,Extreme left
gaycitynews.com,Extreme left
gaystarnews.com,Extreme left
